iter	Logloss
0	0.6757926941
1	0.6617773437
2	0.6539305115
3	0.6434172821
4	0.632508316
5	0.6224248505
6	0.6135242081
7	0.6012018967
8	0.5927135468
9	0.5869815445
10	0.5805503082
11	0.5718520355
12	0.5663131332
13	0.5582243347
14	0.551458931
15	0.5461936569
16	0.5393924713
17	0.5336636734
18	0.5275271225
19	0.5214128494
20	0.5158402252
21	0.5103107452
22	0.505255127
23	0.5012514496
24	0.4964006805
25	0.4920972061
26	0.4877344513
27	0.4836203003
28	0.4794934845
29	0.4758077621
30	0.4709510803
31	0.4683654785
32	0.4644182968
33	0.4597775269
34	0.4567599487
35	0.4532759094
36	0.4497124481
37	0.4448949051
38	0.4421224976
39	0.4385893631
40	0.4341911316
41	0.430846138
42	0.4280934906
43	0.4262127686
44	0.4231687546
45	0.4208401489
46	0.4171754456
47	0.4141603851
48	0.4106715393
49	0.4073888016
