iter	Passed	Remaining
0	24	1211
1	45	1087
2	66	1048
3	90	1036
4	108	973
5	127	932
6	148	912
7	173	908
8	194	888
9	216	866
10	238	844
11	260	823
12	281	801
13	303	779
14	324	757
15	349	743
16	371	721
17	392	698
18	414	676
19	436	654
20	457	632
21	479	609
22	501	588
23	522	566
24	544	544
25	565	522
26	588	501
27	610	479
28	633	458
29	654	436
30	675	414
31	698	392
32	720	371
33	742	349
34	764	327
35	785	305
36	807	283
37	828	261
38	851	240
39	872	218
40	891	195
41	909	173
42	930	151
43	952	129
44	974	108
45	995	86
46	1017	64
47	1039	43
48	1061	21
49	1083	0
